id,category,supplier,date,amount,cost_center,description
1,17,10,2020-10-14,60890.34,PROD003,Software license fees
2,7,13,2020-10-08,41082.4,LOG001,Purchase of casting materials item/service.
3,20,3,2020-07-18,3533.42,RND001,Product quality testing
4,6,16,2020-09-09,14099.91,LOG001,Purchase of rubber & polymers item/service.
5,20,5,2020-12-20,30340.15,PROD001,Product quality testing
6,18,19,2020-09-27,42228.17,PROD001,Factory maintenance services
7,20,18,2020-09-01,20339.19,RND001,Product quality testing
8,20,12,2020-10-01,73911.84,PROD002,Product quality testing
9,16,3,2020-10-21,59242.54,RND001,Freight and logistics costs
10,17,12,2020-10-01,34328.68,PROD001,Software license fees
11,17,18,2020-09-02,22563.21,RND001,Software license fees
12,10,1,2020-07-02,36669.45,LOG001,Purchase of brake pad & lining components item/service.
13,6,13,2020-08-31,48132.83,IT002,Purchase of rubber & polymers item/service.
14,17,19,2020-08-10,49999.98,LOG001,Software license fees
15,18,19,2020-09-26,27505.19,PROD001,Factory maintenance services
16,18,12,2020-12-10,21259.89,PROD002,Factory maintenance services
17,16,11,2020-07-06,40488.08,IT001,Freight and logistics costs
18,16,19,2020-11-08,45249.21,ADM001,Freight and logistics costs
19,17,20,2020-12-12,11738.38,SALES001,Software license fees
20,8,1,2020-11-20,46614.0,ADM002,Purchase of chemicals & fluids item/service.
21,15,12,2020-08-03,27292.77,LOG001,CNC machining charges
22,15,10,2020-12-18,33645.11,LOG001,CNC machining charges
23,20,14,2020-12-14,62229.58,PROD003,Product quality testing
24,18,19,2020-08-24,27221.36,LOG001,Factory maintenance services
25,16,19,2020-11-08,66828.01,RND001,Freight and logistics costs
26,17,15,2020-10-20,21369.05,PROD002,Software license fees
27,9,8,2020-10-31,71469.06,RND001,Purchase of brake caliper sub-assemblies item/service.
28,15,10,2020-08-02,4380.71,LOG001,CNC machining charges
29,20,12,2020-08-06,35840.31,ADM002,Product quality testing
30,9,8,2020-11-25,69219.66,SALES001,Purchase of brake caliper sub-assemblies item/service.
31,11,8,2020-10-05,71427.09,RND001,Purchase of brake disc & drum components item/service.
32,19,15,2020-10-04,72067.21,SALES001,Monthly electricity bill
33,20,19,2020-12-25,64615.73,RND001,Product quality testing
34,9,8,2020-11-19,74971.47,PROD001,Purchase of brake caliper sub-assemblies item/service.
35,15,11,2020-08-14,12283.36,PROD002,CNC machining charges
36,19,12,2020-12-25,72374.22,LOG001,Monthly electricity bill
37,13,6,2020-09-10,18138.98,SALES001,Purchase of fasteners & hardware item/service.
38,20,19,2020-09-04,56464.53,PROD001,Product quality testing
39,17,18,2020-11-26,37114.82,RND001,Software license fees
40,16,20,2020-11-14,48589.09,PROD003,Freight and logistics costs
41,16,18,2020-10-03,48930.09,SALES001,Freight and logistics costs
42,16,12,2020-12-10,71226.42,RND001,Freight and logistics costs
43,13,16,2020-10-21,26230.91,ADM002,Purchase of fasteners & hardware item/service.
44,17,5,2020-12-02,52903.27,ADM002,Software license fees
45,20,10,2020-11-04,50830.83,ADM001,Product quality testing
46,19,20,2020-11-16,55419.39,PROD003,Monthly electricity bill
47,20,10,2020-10-29,57890.62,IT002,Product quality testing
48,19,11,2020-12-24,36536.37,LOG001,Monthly electricity bill
49,19,19,2020-08-03,74068.72,LOG001,Monthly electricity bill
50,16,19,2020-07-19,61170.59,RND001,Freight and logistics costs
51,9,14,2020-11-12,21159.94,RND001,Purchase of brake caliper sub-assemblies item/service.
52,18,5,2020-09-16,861.1,LOG001,Factory maintenance services
53,20,3,2020-10-17,44966.04,LOG001,Product quality testing
54,20,3,2020-11-10,34627.4,ADM001,Product quality testing
55,7,9,2020-09-14,45544.17,IT001,Purchase of casting materials item/service.
56,15,20,2020-08-24,5266.41,IT001,CNC machining charges
57,19,12,2020-08-26,69154.56,IT002,Monthly electricity bill
58,5,16,2020-09-19,4763.75,ADM001,Purchase of steel alloys item/service.
59,16,10,2020-11-02,15090.12,ADM002,Freight and logistics costs
60,20,11,2020-09-08,20939.69,LOG001,Product quality testing
61,19,18,2020-12-07,54494.75,IT001,Monthly electricity bill
62,14,1,2020-10-26,41773.3,LOG001,Purchase of sensors & electronics item/service.
63,15,19,2020-12-21,56974.07,RND001,CNC machining charges
64,9,14,2020-11-14,45533.66,PROD003,Purchase of brake caliper sub-assemblies item/service.
65,6,2,2020-11-05,71203.59,ADM002,Purchase of rubber & polymers item/service.
66,11,4,2020-10-24,575.3,RND001,Purchase of brake disc & drum components item/service.
67,16,5,2020-07-01,8907.13,PROD001,Freight and logistics costs
68,20,16,2020-10-29,3094.82,RND001,Product quality testing
69,15,14,2020-08-30,46257.08,PROD002,CNC machining charges
70,17,20,2020-11-24,11952.46,PROD002,Software license fees
71,20,18,2020-12-23,50254.32,ADM002,Product quality testing
72,15,5,2020-11-20,33286.25,IT001,CNC machining charges
73,12,6,2020-11-20,14660.24,LOG001,Purchase of hydraulic system parts item/service.
74,14,8,2020-07-04,39095.96,RND001,Purchase of sensors & electronics item/service.
75,20,15,2020-08-29,34883.44,PROD002,Product quality testing
76,18,3,2020-08-08,21460.31,PROD003,Factory maintenance services
77,17,3,2020-07-14,39370.8,PROD001,Software license fees
78,15,5,2020-11-03,60494.89,SALES001,CNC machining charges
79,19,19,2020-10-29,66520.46,IT001,Monthly electricity bill
80,20,8,2020-10-13,57119.85,RND001,Product quality testing
81,8,1,2021-02-17,36075.42,ADM001,Purchase of chemicals & fluids item/service.
82,15,18,2021-08-30,52298.91,IT001,CNC machining charges
83,20,19,2021-09-17,68373.41,SALES001,Product quality testing
84,15,11,2021-04-29,68811.51,SALES001,CNC machining charges
85,19,3,2021-11-23,8313.67,IT002,Monthly electricity bill
86,20,10,2021-11-13,51673.59,RND001,Product quality testing
87,18,11,2021-05-19,57150.59,SALES001,Factory maintenance services
88,19,3,2021-12-06,50889.21,LOG001,Monthly electricity bill
89,14,4,2021-09-25,18288.72,ADM002,Purchase of sensors & electronics item/service.
90,15,6,2021-05-30,10468.3,PROD002,CNC machining charges
91,20,12,2021-09-29,67822.66,PROD002,Product quality testing
92,19,15,2021-12-19,47618.46,ADM001,Monthly electricity bill
93,20,11,2021-11-29,15276.28,ADM001,Product quality testing
94,19,20,2021-05-25,61347.49,PROD001,Monthly electricity bill
95,9,7,2021-06-25,15337.16,RND001,Purchase of brake caliper sub-assemblies item/service.
96,19,5,2021-02-06,15013.92,RND001,Monthly electricity bill
97,16,10,2021-08-17,400.72,LOG001,Freight and logistics costs
98,15,10,2021-07-30,65681.46,IT002,CNC machining charges
99,18,20,2021-03-22,43373.71,SALES001,Factory maintenance services
100,20,19,2021-05-18,66019.89,RND001,Product quality testing
101,15,19,2021-06-08,63580.83,RND001,CNC machining charges
102,15,4,2021-10-19,6994.92,PROD002,CNC machining charges
103,19,10,2021-09-12,51778.91,RND001,Monthly electricity bill
104,18,18,2021-03-05,72853.45,RND001,Factory maintenance services
105,15,1,2021-07-07,67251.23,SALES001,CNC machining charges
106,15,12,2021-04-16,44379.59,RND001,CNC machining charges
107,12,8,2021-08-24,2952.83,IT002,Purchase of hydraulic system parts item/service.
108,16,15,2021-09-20,36633.51,SALES001,Freight and logistics costs
109,15,1,2021-11-03,34571.76,SALES001,CNC machining charges
110,17,19,2021-12-23,10594.05,ADM002,Software license fees
111,20,12,2021-08-06,13812.51,SALES001,Product quality testing
112,17,19,2021-04-19,45250.8,IT002,Software license fees
113,14,8,2021-01-25,53295.96,LOG001,Purchase of sensors & electronics item/service.
114,18,3,2021-07-28,72716.73,PROD001,Factory maintenance services
115,18,11,2021-05-30,59246.72,ADM001,Factory maintenance services
116,15,5,2021-01-22,33082.18,SALES001,CNC machining charges
117,9,4,2021-02-08,57932.8,RND001,Purchase of brake caliper sub-assemblies item/service.
118,20,11,2021-06-26,27025.87,RND001,Product quality testing
119,16,15,2021-05-31,57935.9,IT002,Freight and logistics costs
120,15,20,2021-12-21,74437.23,SALES001,CNC machining charges
121,5,1,2021-11-19,22380.18,LOG001,Purchase of steel alloys item/service.
122,20,11,2021-07-30,50967.08,LOG001,Product quality testing
123,17,12,2021-09-17,31382.44,ADM002,Software license fees
124,11,17,2021-01-01,14413.6,ADM001,Purchase of brake disc & drum components item/service.
125,17,3,2021-02-12,8999.92,RND001,Software license fees
126,20,15,2021-08-19,24110.49,SALES001,Product quality testing
127,11,6,2021-08-30,24067.16,ADM002,Purchase of brake disc & drum components item/service.
128,16,10,2021-07-17,60481.96,PROD002,Freight and logistics costs
129,18,11,2021-06-10,57391.89,LOG001,Factory maintenance services
130,17,5,2021-10-08,28717.45,LOG001,Software license fees
131,18,5,2021-03-24,36465.25,LOG001,Factory maintenance services
132,20,15,2021-04-13,701.96,RND001,Product quality testing
133,17,3,2021-05-07,38011.16,IT001,Software license fees
134,20,3,2021-11-06,5356.49,LOG001,Product quality testing
135,19,18,2021-01-17,37113.97,LOG001,Monthly electricity bill
136,16,10,2021-10-03,40891.42,SALES001,Freight and logistics costs
137,6,16,2021-03-24,15805.02,IT001,Purchase of rubber & polymers item/service.
138,17,3,2021-12-31,70120.3,RND001,Software license fees
139,16,10,2021-01-26,63617.03,PROD003,Freight and logistics costs
140,12,1,2021-04-19,2432.84,SALES001,Purchase of hydraulic system parts item/service.
141,18,11,2021-09-02,2492.0,PROD001,Factory maintenance services
142,19,3,2021-01-12,19993.26,IT002,Monthly electricity bill
143,19,18,2021-12-03,52320.55,LOG001,Monthly electricity bill
144,15,19,2021-01-26,40012.09,IT001,CNC machining charges
145,5,9,2021-01-04,11521.42,PROD002,Purchase of steel alloys item/service.
146,17,12,2021-01-20,49049.14,RND001,Software license fees
147,19,18,2021-10-09,2336.4,RND001,Monthly electricity bill
148,15,19,2021-01-26,44019.2,IT001,CNC machining charges
149,17,18,2021-09-16,28978.55,IT002,Software license fees
150,19,11,2021-08-27,3760.5,PROD003,Monthly electricity bill
151,20,15,2021-03-19,53149.41,SALES001,Product quality testing
152,17,5,2021-03-03,50149.01,ADM001,Software license fees
153,9,1,2021-07-14,10414.81,PROD001,Purchase of brake caliper sub-assemblies item/service.
154,18,19,2021-07-29,947.85,SALES001,Factory maintenance services
155,17,11,2021-06-30,38055.93,ADM001,Software license fees
156,18,3,2021-11-14,38443.64,PROD003,Factory maintenance services
157,18,15,2021-05-29,22219.26,RND001,Factory maintenance services
158,18,12,2021-03-16,34872.82,SALES001,Factory maintenance services
159,18,15,2021-11-25,25161.29,ADM001,Factory maintenance services
160,15,3,2021-11-11,16706.1,PROD002,CNC machining charges
161,5,1,2022-03-26,72088.54,ADM001,Purchase of steel alloys item/service.
162,17,15,2022-11-30,68293.61,RND001,Software license fees
163,17,20,2022-06-13,2955.01,SALES001,Software license fees
164,17,15,2022-10-04,48108.79,LOG001,Software license fees
165,14,1,2022-10-16,42463.35,ADM002,Purchase of sensors & electronics item/service.
166,17,12,2022-02-27,68014.64,RND001,Software license fees
167,19,20,2022-06-10,67771.38,ADM002,Monthly electricity bill
168,15,11,2022-07-04,57409.57,IT001,CNC machining charges
169,16,12,2022-12-01,72182.34,RND001,Freight and logistics costs
170,8,17,2022-05-24,42107.04,LOG001,Purchase of chemicals & fluids item/service.
171,10,14,2022-03-15,30740.61,IT001,Purchase of brake pad & lining components item/service.
172,20,3,2022-08-13,63339.05,PROD003,Product quality testing
173,11,14,2022-07-20,48428.68,RND001,Purchase of brake disc & drum components item/service.
174,16,15,2022-08-18,74941.57,SALES001,Freight and logistics costs
175,11,8,2022-07-11,33814.98,RND001,Purchase of brake disc & drum components item/service.
176,17,12,2022-11-22,36878.26,IT001,Software license fees
177,16,5,2022-11-22,17369.07,RND001,Freight and logistics costs
178,19,3,2022-03-02,74584.76,PROD003,Monthly electricity bill
179,5,14,2022-10-30,15569.03,PROD003,Purchase of steel alloys item/service.
180,6,7,2022-06-17,49239.37,SALES001,Purchase of rubber & polymers item/service.
181,18,15,2022-10-09,19918.86,LOG001,Factory maintenance services
182,17,20,2022-11-29,29448.41,LOG001,Software license fees
183,20,10,2022-06-21,13778.39,IT002,Product quality testing
184,18,18,2022-05-08,49120.89,SALES001,Factory maintenance services
185,17,12,2022-08-20,59541.12,PROD001,Software license fees
186,18,20,2022-03-31,25110.09,PROD002,Factory maintenance services
187,17,11,2022-07-29,63784.24,PROD003,Software license fees
188,15,13,2022-11-01,72214.0,LOG001,CNC machining charges
189,9,7,2022-05-03,71630.24,ADM001,Purchase of brake caliper sub-assemblies item/service.
190,18,18,2022-12-16,55738.55,RND001,Factory maintenance services
191,19,19,2022-05-29,4965.95,PROD001,Monthly electricity bill
192,17,11,2022-06-04,194.41,LOG001,Software license fees
193,15,4,2022-09-13,67825.06,PROD001,CNC machining charges
194,10,17,2022-12-26,1994.54,IT001,Purchase of brake pad & lining components item/service.
195,15,11,2022-06-13,50112.48,LOG001,CNC machining charges
196,11,7,2022-08-20,24966.63,PROD003,Purchase of brake disc & drum components item/service.
197,15,15,2022-08-11,23085.09,ADM002,CNC machining charges
198,20,11,2022-03-11,21677.99,LOG001,Product quality testing
199,10,8,2022-11-03,68046.02,ADM001,Purchase of brake pad & lining components item/service.
200,18,18,2022-09-19,30109.48,LOG001,Factory maintenance services
201,14,16,2022-10-14,50784.57,LOG001,Purchase of sensors & electronics item/service.
202,7,2,2022-07-21,15873.71,RND001,Purchase of casting materials item/service.
203,15,10,2022-07-16,44653.79,SALES001,CNC machining charges
204,17,19,2022-05-04,42441.49,ADM001,Software license fees
205,7,4,2022-12-06,37701.61,LOG001,Purchase of casting materials item/service.
206,17,11,2022-04-22,207.61,SALES001,Software license fees
207,17,15,2022-06-03,51029.85,RND001,Software license fees
208,15,15,2022-05-02,50589.88,IT002,CNC machining charges
209,15,6,2022-02-08,69583.2,RND001,CNC machining charges
210,16,10,2022-09-02,49069.84,ADM001,Freight and logistics costs
211,18,11,2022-11-26,64312.95,SALES001,Factory maintenance services
212,15,1,2022-10-21,21770.66,SALES001,CNC machining charges
213,20,5,2022-06-18,5382.34,PROD003,Product quality testing
214,17,5,2022-12-30,43168.71,IT002,Software license fees
215,20,20,2022-08-15,67068.59,IT002,Product quality testing
216,8,16,2022-03-29,72204.59,LOG001,Purchase of chemicals & fluids item/service.
217,16,3,2022-07-23,10131.22,SALES001,Freight and logistics costs
218,20,10,2022-09-30,23668.77,ADM002,Product quality testing
219,18,15,2022-04-26,22554.5,PROD001,Factory maintenance services
220,20,19,2022-12-20,30976.01,SALES001,Product quality testing
221,16,3,2022-10-16,32185.68,ADM001,Freight and logistics costs
222,16,11,2022-11-19,24496.05,SALES001,Freight and logistics costs
223,15,12,2022-03-08,28053.31,ADM002,CNC machining charges
224,14,13,2022-11-09,3177.18,SALES001,Purchase of sensors & electronics item/service.
225,15,20,2022-09-27,5579.85,SALES001,CNC machining charges
226,18,12,2022-09-13,37169.0,RND001,Factory maintenance services
227,19,12,2022-09-12,2001.76,ADM002,Monthly electricity bill
228,17,10,2022-09-09,37396.04,LOG001,Software license fees
229,16,15,2022-11-08,57322.64,SALES001,Freight and logistics costs
230,9,2,2022-10-11,54164.75,PROD001,Purchase of brake caliper sub-assemblies item/service.
231,15,9,2022-08-19,45527.82,SALES001,CNC machining charges
232,18,15,2022-02-28,5649.53,LOG001,Factory maintenance services
233,7,8,2022-01-07,62121.97,SALES001,Purchase of casting materials item/service.
234,20,15,2022-03-24,18034.74,PROD003,Product quality testing
235,5,13,2022-11-30,57877.4,PROD001,Purchase of steel alloys item/service.
236,12,16,2022-02-21,39145.07,IT001,Purchase of hydraulic system parts item/service.
237,20,11,2022-02-09,35455.84,SALES001,Product quality testing
238,16,10,2022-05-06,5280.9,RND001,Freight and logistics costs
239,7,13,2022-09-24,5673.79,RND001,Purchase of casting materials item/service.
240,17,18,2022-05-30,67480.23,LOG001,Software license fees
